Date (UTC),Tow,Station #,Start_lat,Start_lon,End_lat,End_lon,distance_towed_(km),Time in (UTC),Time Out (UTC),Local time zone,Flow_start,Flow_end,flow_rev,Max_depth_m,Depths targeted (m) ,displace_ml,Note
4/24/18,1,4,23.39026667,-145.2818,23.3839,-145.2441667,3.91,9:45,12:23,UTC -9,23,118822,118799,275,"165,85,35",270,"end lat/lon approx (taken before recovery), DV taken AFTER micronekton removed"
4/27/18,2,9,26.48338333,-137.4786167,missing,missing,,3:40,9:13,UTC-8 double check,118830,515884,397054,580,"540,470,170,25",630,"CTD realtime logging stopped - actually fished depths were not the targeted depths, ~10 ml subsample to AC, bulk plankton split- <7.8 and >7.8 mm mesh; end lat/lon approx (taken before recovery) "
4/28/18,3,13,26.89941667,-138.8627333,26.89073333,-138.67585,,3:32,8:47,UTC-8,515893,49024,533131,575,stepwise oblique,320,"CTD realtime not working; end lat/lon approx (taken before recovery), ~ 10 ml plankton subsample to AC "
4/30/18,4,18,24.76195,-134.0601833,24.6737,-133.93235,,4:26,9:01,UTC-8,49045,550790,501745,582,"519,146,99",280,end lat/lon approx (taken before recovery)
5/1/18,5,22,23.58778333,-131.8101,23.37503333,-131.78215,,4:35,9:56,UTC-8,550789,74765,523976,580,"549,460,142,198",580,DV incl. 100 ml Coryphaenoides
5/2/18,6,27,22.54636667,-132.0127167,missing,missing,,3:40,9:00,UTC-8,74775,594653,519878,585,"554,420-447,126",460,
,7,34,22.38141667,-132.8139667,22.3117,-132.5675333,,6:24,11:53,UTC-8,594653,267666,673013,580,"500,430,135",390,
,8,38,21.8082,-130.31885,21.83511667,-130.0421333,,6:28,12:50,UTC-8,267682,914241,646559,579,"470,167,136-148,85,58",450,large number pyrosomes(>10)
5/6/18,9,48,22.27565,-132.8943333,22.24498333,-132.6139833,,7:16,13:28,UTC-8,914258,764303,850045,586,,610,
5/7/18,10,54,22.30315,-132.8762667,22.38726667,-132.7761333,,9:45,12:52,UTC-8,764316,187036,422720,215,,510,
5/9/18,11,58,21.96491667,-126.799,22.03488333,-126.5904,,4:26,10:06,UTC-8,187051,706457,519406,578,,470,
5/12/18,12,64,24.97648333,-128.0769167,25.0175,-127.822,,3:59,11:43,UTC-8,706445,276731,570286,592,,620,